,Name,Aggregate Rating,Type,Price,Latitude,Longitude,Sensor ID,Sensor
408,Osaka Bench,3.2,Restaurant,2,-37.8171921504,144.9649181217,22,Flinders St-Elizabeth St (East)
409,Persian Grill,3.1,Restaurant,2,-37.8172414141,144.9646998569,22,Flinders St-Elizabeth St (East)
411,Doughnut Time,3.1,Desserts,1,-37.8177102117,144.9659256265,22,Flinders St-Elizabeth St (East)
412,Yuzu at Degraves,3.2,Restaurant,3,-37.8174959424,144.9658173323,22,Flinders St-Elizabeth St (East)
413,The Joint Bar,3.0,Restaurant,3,-37.8173531842,144.9644608051,22,Flinders St-Elizabeth St (East)
414,Cup of Truth,4.3,Cafe,1,-37.8178058249,144.9659547955,22,Flinders St-Elizabeth St (East)
415,Grill'd - Degraves Street,3.9,Fast Food,2,-37.8174437655,144.9657874927,22,Flinders St-Elizabeth St (East)
416,Migo's,4.2,Cafe,2,-37.8171410327,144.9650052935,22,Flinders St-Elizabeth St (East)
417,Sal's Pizza,4.0,Restaurant,2,-37.8171296438,144.9650210515,22,Flinders St-Elizabeth St (East)
419,Il Tempo 2 - Pasta Bar,3.2,Restaurant,4,-37.8174673378,144.9659024924,22,Flinders St-Elizabeth St (East)
421,South Melbourne Market Dim Sims,3.7,Fast Food,1,-37.8071652533,144.9563132599,27,QV Market-Peel St
422,Gozleme Turkish Cafe,3.1,Restaurant,2,-37.8071856502,144.9563974142,27,QV Market-Peel St
423,Merlo Coffee Roasters,3.7,Cafe,1,-37.8071567767,144.9559766427,27,QV Market-Peel St
426,Central Club Hotel,3.6,Pub,3,-37.8060010332,144.9581462145,27,QV Market-Peel St
427,Chimac,4.4,Restaurant,3,-37.8072174375,144.9555256963,27,QV Market-Peel St
430,Mr Burger,4.3,Fast Food,2,-37.8074926621,144.9571065232,27,QV Market-Peel St
431,Teaser,3.7,Beverages,1,-37.8074052472,144.955490157,27,QV Market-Peel St
432,Phat Fried Ice Cream,3.4,Desserts,1,-37.8075837853,144.9568134919,27,QV Market-Peel St
433,Nahm Tao Thai Kitchen,3.8,Restaurant,3,-37.8056277901,144.9545165151,27,QV Market-Peel St
434,Geloso Gelateria,3.9,Desserts,1,-37.8073125344,144.9577355012,27,QV Market-Peel St
435,Funk Fish Cafe,3.0,Fast Food,2,-37.806452419,144.9584888667,27,QV Market-Peel St
436,Original Chai Co,3.7,Beverages,1,-37.8072153183,144.9580359086,27,QV Market-Peel St
438,Café Verona,3.1,Cafe,2,-37.8062426203,144.9585998431,27,QV Market-Peel St
439,Don Camillo,3.7,Cafe,3,-37.8058386502,144.9542804807,27,QV Market-Peel St
440,Menya Ramen - Elizabeth Street,3.8,Restaurant,3,-37.8087498347,144.9604448676,51,QVM-Franklin St (North)
441,American Doughnut Kitchen,4.5,Desserts,1,-37.8074648483,144.9582578614,51,QVM-Franklin St (North)
442,Happy Lemon - Elizabeth Street,3.9,Cafe,1,-37.8080248307,144.9604512379,51,QVM-Franklin St (North)
443,Jasper Kitchen & Bar,3.5,Restaurant,4,-37.8074105451,144.9598118663,51,QVM-Franklin St (North)
444,Rose Garden BBQ,4.6,Restaurant,2,-37.8088110239,144.9604656547,51,QVM-Franklin St (North)
445,David's Spicy Pot大味麻辣烫 - Elizabeth Street,4.4,Restaurant,3,-37.8079175496,144.9604297802,51,QVM-Franklin St (North)
446,Chef David 大味江湖,4.1,Restaurant,4,-37.80785,144.960397,51,QVM-Franklin St (North)
447,Mansae Korean BBQ & Bar,4.5,Restaurant,4,-37.8095630386,144.9596073479,51,QVM-Franklin St (North)
448,Butterlake Pancakes,3.4,Desserts,1,-37.8072187619,144.9593739957,51,QVM-Franklin St (North)
449,Dragon Hot Pot,4.0,Restaurant,2,-37.8088743323,144.9605139345,51,QVM-Franklin St (North)
451,Queen Victoria Market Cake Shop,3.3,Desserts,1,-37.8071973055,144.9593807012,51,QVM-Franklin St (North)
452,Kicks,3.4,Pub,3,-37.8084155443,144.960655421,51,QVM-Franklin St (North)
455,The Borek Shop,4.4,Bakery,1,-37.807176114,144.9594024941,51,QVM-Franklin St (North)
456,Biang Biang古城秦味,3.9,Restaurant,3,-37.809082,144.960457,51,QVM-Franklin St (North)
457,Ladle and Tong,3.8,Fast Food,2,-37.8071263138,144.9593558908,51,QVM-Franklin St (North)
458,Parco Project x Shujinko,3.9,Restaurant,3,-37.8089688973,144.9605876952,51,QVM-Franklin St (North)
459,Bratwurst Shop & Co,4.3,Fast Food,1,-37.8070987648,144.9593146518,51,QVM-Franklin St (North)
471,Top Juice,3.4,Fast Food,2,-37.8145318643,144.9722610042,75,Spring St- Flinders st (West)
477,The Fair Trader,3.9,Cafe,3,-37.8155513341,144.9720055237,75,Spring St- Flinders st (West)
478,Vacation Coffee,4.1,Cafe,2,-37.8159594889,144.9721560627,75,Spring St- Flinders st (West)
